Var1,Var2,Freq
FALSE,ITH,0
TRUE,ITH,1
NA,ITH,0
FALSE,JAN,0
TRUE,JAN,10
NA,JAN,0
FALSE,JAX,1
TRUE,JAX,102
NA,JAX,0
FALSE,JFK,76
TRUE,JFK,390
NA,JFK,0
FALSE,LAS,0
TRUE,LAS,122
NA,LAS,0
FALSE,LAX,0
TRUE,LAX,69
NA,LAX,0
FALSE,LBB,0
TRUE,LBB,1
NA,LBB,0
FALSE,LCH,0
TRUE,LCH,3
NA,LCH,0
FALSE,LEX,0
TRUE,LEX,10
NA,LEX,0
FALSE,LFT,0
TRUE,LFT,4
NA,LFT,0
FALSE,LGA,52
TRUE,LGA,111
NA,LGA,0
FALSE,LGB,0
TRUE,LGB,14
NA,LGB,0
FALSE,LIT,0
TRUE,LIT,35
NA,LIT,0
FALSE,LNK,0
TRUE,LNK,3
NA,LNK,0
FALSE,LSE,0
TRUE,LSE,4
NA,LSE,0
FALSE,MAF,0
TRUE,MAF,1
NA,MAF,0
FALSE,MCI,0
TRUE,MCI,72
NA,MCI,0
FALSE,MCN,0
TRUE,MCN,1
NA,MCN,0
FALSE,MCO,0
TRUE,MCO,187
NA,MCO,0
FALSE,MDT,0
TRUE,MDT,16
NA,MDT,0
FALSE,MDW,0
TRUE,MDW,7
NA,MDW,0
FALSE,MEM,0
TRUE,MEM,64
NA,MEM,0
FALSE,MFE,0
TRUE,MFE,2
NA,MFE,0
FALSE,MGM,0
TRUE,MGM,2
NA,MGM,0
FALSE,MHT,0
TRUE,MHT,6
NA,MHT,0
FALSE,MIA,0
TRUE,MIA,41
NA,MIA,0
FALSE,MKE,0
TRUE,MKE,62
NA,MKE,0
FALSE,MLB,0
TRUE,MLB,24
NA,MLB,0
FALSE,MOB,0
TRUE,MOB,5
NA,MOB,0
FALSE,MSN,0
TRUE,MSN,26
NA,MSN,0
FALSE,MSP,0
TRUE,MSP,82
NA,MSP,0
FALSE,MSY,0
TRUE,MSY,55
NA,MSY,0
FALSE,MVY,0
TRUE,MVY,1
NA,MVY,0
FALSE,MYR,0
TRUE,MYR,25
NA,MYR,0
FALSE,NAS,0
TRUE,NAS,2
NA,NAS,0
FALSE,OAK,0
TRUE,OAK,11
NA,OAK,0
FALSE,OKC,0
TRUE,OKC,106
NA,OKC,0
FALSE,OMA,0
TRUE,OMA,45
NA,OMA,0
FALSE,ONT,0
TRUE,ONT,43
NA,ONT,0
FALSE,ORD,0
TRUE,ORD,86
NA,ORD,0
FALSE,ORF,0
TRUE,ORF,54
NA,ORF,0
FALSE,PAE,0
TRUE,PAE,1
NA,PAE,0
FALSE,PBI,1
TRUE,PBI,157
NA,PBI,0
FALSE,PDX,0
TRUE,PDX,9
NA,PDX,0
FALSE,PHL,0
TRUE,PHL,45
NA,PHL,0
FALSE,PHX,0
TRUE,PHX,62
NA,PHX,0
FALSE,PIA,0
TRUE,PIA,1
NA,PIA,0
FALSE,PIT,0
TRUE,PIT,99
NA,PIT,0
FALSE,PNS,0
TRUE,PNS,3
NA,PNS,0
FALSE,PSC,0
TRUE,PSC,5
NA,PSC,0
FALSE,PSP,0
TRUE,PSP,2
NA,PSP,0
FALSE,PUB,0
TRUE,PUB,2
NA,PUB,0
FALSE,PVD,0
TRUE,PVD,18
NA,PVD,0
FALSE,PVU,0
TRUE,PVU,2
NA,PVU,0
FALSE,PWM,0
TRUE,PWM,6
NA,PWM,0
FALSE,RAP,0
TRUE,RAP,7
NA,RAP,0
FALSE,RDU,0
TRUE,RDU,135
NA,RDU,0
FALSE,RFD,0
TRUE,RFD,6
NA,RFD,0
FALSE,RIC,0
TRUE,RIC,76
NA,RIC,0
FALSE,RNO,0
